"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
3,90,624,21.4,22.9,22.9,21.6,33.2,239,85,2.5,19.4,27,9.5,456,5.1
3,95,554,22.3,23.7,23.6,23.3,35.5,259,70,2.5,21.2,28,9.5,504,5.3
3,100,496,23.1,24.5,24.2,24.9,37.7,278,58,2.4,23.1,28,9.5,551,5.5
3,105,447,23.9,25.2,24.7,26.5,39.9,297,49,2.4,25,29,9.4,598,5.7
3,110,406,24.6,25.9,25.3,28.2,42,314,41,2.4,27,29,9.4,645,5.9
3,115,371,25.2,26.5,25.8,29.8,44,331,35,2.3,29,30,9.3,692,6
3,120,340,25.8,27.1,26.3,31.3,46,348,30,2.3,31.1,30,9.3,738,6.2
3,125,314,26.4,27.6,26.7,32.9,47.8,363,26,2.3,33.3,30,9.2,784,6.3
3,130,292,26.9,28.1,27.1,34.4,49.6,379,23,2.2,35.2,30,9.1,830,6.4
3,135,271,27.4,28.5,27.5,35.9,51.3,393,20,2.2,37.1,31,9,875,6.5
3,140,253,27.9,29,27.9,37.4,52.9,407,18,2.2,38.8,31,8.9,920,6.6
3,145,237,28.3,29.4,28.3,39,54.4,421,16,2.1,40.7,31,8.8,964,6.6
3,150,222,28.7,29.7,28.7,40.5,55.9,434,15,2.1,42.5,31,8.7,1008,6.7
3,155,207,29.1,30,29.1,42,57.4,447,14,2.1,44.3,31,8.6,1052,6.8
3,160,192,29.5,30.3,29.5,43.5,58.9,460,13,2.1,46.1,31,8.5,1096,6.9
3,165,177,29.9,30.6,29.9,45,60.4,473,12,2.1,47.9,31,8.4,1140,7
3,170,162,30.3,30.9,30.3,46.5,61.9,486,11,2.1,49.7,31,8.3,1184,7.1
3,175,147,30.7,31.2,30.7,48,63.4,499,10,2.1,51.5,31,8.2,1228,7.2
3,180,132,31.1,31.5,31.1,49.5,64.9,512,9,2.1,53.3,31,8.1,1272,7.3
